site_key,site_name,COMMON NAME,SCIENTIFIC NAME,checklists,individuals
amelia,Amelia,Black-tailed Godwit,Limosa limosa,0,0
amelia,Amelia,Black-tailed Gull,Larus crassirostris,0,0
amelia,Amelia,Black-throated Blue Warbler,Setophaga caerulescens,13,22
amelia,Amelia,Black-throated Gray Warbler,Setophaga nigrescens,0,0
amelia,Amelia,Black-throated Green Warbler,Setophaga virens,8,10
amelia,Amelia,Black-throated Sparrow,Amphispiza bilineata,0,0
amelia,Amelia,Black-whiskered Vireo,Vireo altiloquus,0,0
amelia,Amelia,Black/Pigeon Guillemot,Cepphus grylle/columba,0,0
amelia,Amelia,Blackburnian Warbler,Setophaga fusca,2,2
amelia,Amelia,Blackpoll Warbler,Setophaga striata,3,2
amelia,Amelia,Blue Grosbeak,Passerina caerulea,84,143
amelia,Amelia,Blue Jay,Cyanocitta cristata,297,1608
amelia,Amelia,Blue-gray Gnatcatcher,Polioptila caerulea,171,557
amelia,Amelia,Blue-headed Vireo,Vireo solitarius,14,18
amelia,Amelia,Blue-winged Teal,Spatula discors,1,3
amelia,Amelia,Blue-winged Teal x Northern Shoveler (hybrid),Spatula discors x clypeata,0,0
amelia,Amelia,Blue-winged Warbler,Vermivora cyanoptera,4,5
amelia,Amelia,Blue-winged x Green-winged Teal (hybrid),Spatula discors x Anas crecca,0,0
amelia,Amelia,Blue-winged/Cinnamon Teal,Spatula discors/cyanoptera,0,0
amelia,Amelia,Boat-tailed Grackle,Quiscalus major,0,0
amelia,Amelia,Bobolink,Dolichonyx oryzivorus,0,0
amelia,Amelia,Bohemian Waxwing,Bombycilla garrulus,0,0
amelia,Amelia,Bohemian/Cedar Waxwing,Bombycilla garrulus/cedrorum,0,0
amelia,Amelia,Bonaparte's Gull,Chroicocephalus philadelphia,1,1
amelia,Amelia,Boreal Chickadee,Poecile hudsonicus,0,0
amelia,Amelia,Brant,Branta bernicla,0,0
amelia,Amelia,Branta sp.,Branta sp.,0,0
amelia,Amelia,Brewer's Blackbird,Euphagus cyanocephalus,0,0
amelia,Amelia,Brewer's Sparrow,Spizella breweri,0,0
amelia,Amelia,Brewster's Warbler (hybrid),Vermivora chrysoptera x cyanoptera (F1 hybrid),0,0
amelia,Amelia,Bridled Tern,Onychoprion anaethetus,0,0
amelia,Amelia,Broad-winged Hawk,Buteo platypterus,1,5
amelia,Amelia,Bronzed/Brown-headed Cowbird,Molothrus aeneus/ater,0,0
amelia,Amelia,Brown Booby,Sula leucogaster,0,0
