site_name,site_key,cache_file,rows,unique_checklists,unique_group_ids,unique_species,first_date,last_date
Mattaponi,mattaponi,data_processed/caches/mattaponi_checklists_cache.rds,3133,163,24,131,2013-05-09,2026-01-19
Mattaponi Bluffs,mattaponi_bluffs,data_processed/caches/mattaponi_bluffs_checklists_cache.rds,547,26,2,93,2020-04-17,2025-06-02
Merrimac Farm,merrimac_farm,data_processed/caches/merrimac_farm_checklists_cache.rds,21422,926,106,188,2005-09-04,2026-02-13
Mockhorn,mockhorn,data_processed/caches/mockhorn_checklists_cache.rds,225,12,2,68,2010-10-10,2024-02-01
Montebello Fish Cultural Center,montebello_fish_cultural_center,data_processed/caches/montebello_fish_cultural_center_checklists_cache.rds,647,40,7,78,2008-10-30,2024-05-19
Nottoway River,nottoway_river,data_processed/caches/nottoway_river_checklists_cache.rds,512,36,4,87,2014-10-26,2026-02-19
Oakley Forest,oakley_forest,data_processed/caches/oakley_forest_checklists_cache.rds,126,13,2,58,2020-05-09,2025-04-01
Paint Bank Trout,paint_bank_trout,data_processed/caches/paint_bank_trout_checklists_cache.rds,246,28,6,56,2017-06-24,2025-06-10
Pettigrew,pettigrew,data_processed/caches/pettigrew_checklists_cache.rds,2149,130,14,129,2004-08-14,2026-01-19
Piney Mountain,piney_mountain,data_processed/caches/piney_mountain_checklists_cache.rds,0,0,0,0,NA,NA
Powhatan,powhatan,data_processed/caches/powhatan_checklists_cache.rds,14610,718,87,172,2002-10-26,2026-01-05
Princess Anne,princess_anne,data_processed/caches/princess_anne_checklists_cache.rds,64652,2517,358,271,2002-02-13,2026-02-25
Ragged Island,ragged_island,data_processed/caches/ragged_island_checklists_cache.rds,8165,612,60,202,2005-02-12,2026-02-21
Rapidan,rapidan,data_processed/caches/rapidan_checklists_cache.rds,825,63,4,112,2010-05-12,2025-10-11
Robert W. Duncan,robert_w_duncan,data_processed/caches/robert_w_duncan_checklists_cache.rds,951,39,1,110,2019-06-25,2025-04-22
Saxis,saxis,data_processed/caches/saxis_checklists_cache.rds,7134,501,99,214,2003-05-30,2026-02-13
Short Hills,short_hills,data_processed/caches/short_hills_checklists_cache.rds,166,11,3,47,2007-06-04,2023-01-07
Smith Mountain Cooperative,smith_mountain_cooperative,data_processed/caches/smith_mountain_cooperative_checklists_cache.rds,926,51,8,102,2016-12-31,2025-12-28
Stewarts Creek,stewarts_creek,data_processed/caches/stewarts_creek_checklists_cache.rds,3,1,0,3,2022-07-25,2022-07-25
Thompson,thompson,data_processed/caches/thompson_checklists_cache.rds,60771,2699,377,189,2002-05-03,2026-02-13
Turkeycock Mountain,turkeycock_mountain,data_processed/caches/turkeycock_mountain_checklists_cache.rds,569,39,4,91,2010-04-03,2025-06-25
Tye River,tye_river,data_processed/caches/tye_river_checklists_cache.rds,35,7,2,16,2024-04-25,2024-10-19
Vic Thomas Striped Bass,vic_thomas_striped_bass,data_processed/caches/vic_thomas_striped_bass_checklists_cache.rds,96,8,2,53,2016-05-28,2022-04-15
Ware Creek,ware_creek,data_processed/caches/ware_creek_checklists_cache.rds,1086,63,5,136,2016-08-14,2026-01-30
Weston,weston,data_processed/caches/weston_checklists_cache.rds,1553,69,9,120,2010-06-14,2025-09-18
White Oak Mountain,white_oak_mountain,data_processed/caches/white_oak_mountain_checklists_cache.rds,4992,252,16,147,2002-12-28,2026-02-11
Woodvale Wetlands,woodvale_wetlands,data_processed/caches/woodvale_wetlands_checklists_cache.rds,0,0,0,0,NA,NA
Wytheville Trout,wytheville_trout,data_processed/caches/wytheville_trout_checklists_cache.rds,5,1,0,5,2025-07-22,2025-07-22
